"accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5" "accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05"
"E047713" 0 69 45 0 30 0 0 0 0 0
"E047787" 0 70 0 0 0 0 0 0 0 0
"E037960" 0 75 56 0 35 0 0 0 0 0
"E038545" 0 77 46 0 45 0 0 0 0 0
"E006626" 0 78 19 75 31 0 0 0 0 0
"E033196" 0 79 0 0 0 0 0 0 0 0
"E006892" 0 80 47 43 26 0 0 0 0 0
"E041334" 0 81 0 54 48 0 0 0 0 0
"E013480" 0 82 0 0 0 0 0 0 0 0
"E006531" 0 83 88 0 0 0 0 0 0 0
"E003968" 0 88 0 0 0 0 0 0 0 0
"E026336" 0 89 65 0 84 0 0 0 0 0
"E019898" 0 90 38 0 66 0 0 0 0 0
"E061614" 0 91 82 0 0 0 0 0 0 0
"E026045" 0 92 41 0 0 0 0 0 0 0
"E033759" 0 93 32 25 65 0 0 0 0 0
"E048804" 0 97 0 0 0 0 0 0 0 0
"E003135" 0 98 0 0 0 0 0 0 0 0
"E067666" 0 99 0 0 0 0 0 0 0 0
"E061539" 0 100 0 0 0 0 0 0 0 0
"E035784" 0 0 16 82 15 0 0 0 0 0
"E035783" 0 0 23 0 17 0 0 0 0 0
"E023514" 0 0 25 76 73 0 0 0 0 0
"E004511" 0 0 31 53 68 0 0 0 0 0
"E034445" 0 0 33 0 24 0 0 0 0 0
"E031607" 0 0 39 20 95 0 0 0 0 0
"E024729" 0 0 44 0 42 0 0 0 0 0
"E031609" 0 0 55 24 94 0 0 0 0 0
"E003303" 0 0 58 0 77 0 0 0 0 0
"E059888" 0 0 63 0 0 0 0 0 0 0
"E031608" 0 0 67 26 0 0 0 0 0 0
"E030714" 0 0 70 0 0 0 0 0 0 0
"E033763" 0 0 72 44 98 0 0 0 0 0
"E033768" 0 0 73 45 99 0 0 0 0 0
"E035785" 0 0 75 0 64 0 0 0 0 0
"E031606" 0 0 76 38 0 0 0 0 0 0
"E033764" 0 0 77 52 0 0 0 0 0 0
"E038994" 0 0 79 0 0 0 0 0 0 0
"E024728" 0 0 84 0 88 0 0 0 0 0
"E024906" 0 0 86 49 60 0 0 0 0 0
"E056933" 0 0 87 0 74 0 0 0 0 0
"E047711" 0 0 89 0 49 0 0 0 0 0
"E000085" 0 0 90 0 0 0 0 0 0 0
"E038544" 0 0 91 0 0 0 0 0 0 0
"E033767" 0 0 93 78 0 0 0 0 0 0
"E018963" 0 0 94 0 51 0 0 0 0 0
"E052348" 0 0 95 0 0 0 0 0 0 0
"E056929" 0 0 98 0 0 0 0 0 0 0
"E027203" 0 0 99 0 39 0 0 0 0 0
"E054432" 0 0 0 28 0 0 0 0 0 0
"E019931" 0 0 0 34 0 0 0 0 0 0
"E066885" 0 0 0 35 0 0 10 14 10 10
"E063758" 0 0 0 39 0 0 0 0 0 0
"E053340" 0 0 0 41 0 0 0 0 0 0
"E037313" 0 0 0 47 0 0 0 0 0 0
"E057849" 0 0 0 51 0 0 0 0 0 0
"E067274" 0 0 0 56 0 0 3 4 8 8
"E006824" 0 0 0 59 0 0 0 0 0 0
"E026438" 0 0 0 61 0 0 0 0 0 0
"E014122" 0 0 0 62 0 0 0 0 0 0
"E008019" 0 0 0 63 0 0 0 0 0 0
"E067001" 0 0 0 64 0 0 47 44 23 27
"E006822" 0 0 0 66 0 0 0 0 0 0
"E032077" 0 0 0 68 0 0 0 0 0 0
"E043469" 0 0 0 69 0 0 0 0 0 0
"E036338" 0 0 0 71 0 3 18 13 9 9
"E054620" 0 0 0 77 0 0 0 0 0 0
"E011399" 0 0 0 83 0 0 0 0 0 0
"E054471" 0 0 0 84 0 0 0 0 0 0
"E057851" 0 0 0 86 0 0 0 0 0 0
"E007841" 0 0 0 87 0 0 0 0 0 0
"E024162" 0 0 0 91 0 0 0 0 0 0
"E008020" 0 0 0 94 0 0 0 0 0 0
"E037312" 0 0 0 96 0 0 0 0 0 0
"E067488" 0 0 0 97 81 0 0 0 0 0
"E006821" 0 0 0 98 0 0 0 0 0 0
"E066716" 0 0 0 0 37 0 0 0 0 0
"E027202" 0 0 0 0 38 0 0 0 0 0
"E003787" 0 0 0 0 52 0 0 0 0 0
"E022831" 0 0 0 0 55 0 0 0 0 0
"E036573" 0 0 0 0 58 0 0 0 0 0
"E027520" 0 0 0 0 82 0 0 0 0 0
"E016200" 0 0 0 0 86 0 0 0 0 0
"E006897" 0 0 0 0 87 0 0 0 0 0
"E002931" 0 0 0 0 91 0 0 0 0 0
"E036569" 0 0 0 0 92 0 0 0 0 0
"E036574" 0 0 0 0 93 0 0 0 0 0
"E066539" 0 0 0 0 96 0 0 0 0 0
"E058749" 0 0 0 0 97 0 0 0 0 0
"E047712" 0 0 0 0 100 0 0 0 0 0
"E002067" 0 0 0 0 0 4 34 34 52 54
"E066168" 0 0 0 0 0 5 88 87 0 81
