"accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05" "accepted_06" "accepted_07" "accepted_08" "accepted_09" "accepted_010" "accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5"
"E004467" 0 0 0 0 0 0 1 0 0 0 0 11 19 1 0
"E004468" 0 0 0 0 0 1 0 0 0 0 1 20 9 4 62
"E004469" 0 0 0 0 0 0 0 0 0 0 1 13 18 1 44
"E004470" 1 1 0 0 0 2 4 1 2 4 3 1 0 3 0
"E004471" 0 0 0 0 0 0 0 0 0 0 3 12 10 3 77
"E004472" 0 0 0 0 0 0 0 0 0 0 4 7 6 4 56
"E004473" 0 0 0 0 0 0 0 0 0 0 1 6 2 2 40
"E004474" 0 0 0 0 0 0 0 0 0 0 2 10 9 2 57
"E004475" 0 0 0 0 0 0 0 0 0 0 4 7 6 4 56
"E004476" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004477" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004478" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004479" 0 0 0 0 0 0 0 0 0 0 0 3 3 7 121
"E004480" 0 0 0 0 0 0 0 0 0 0 45 148 84 57 782
"E004481" 0 0 0 0 0 0 0 0 0 0 2 25 20 15 83
"E004482" 0 0 0 1 0 0 0 0 0 0 7 21 27 12 187
"E004483" 0 0 0 1 0 0 0 0 0 1 5 33 36 14 365
"E004484" 0 0 0 0 1 0 0 0 0 0 13 137 79 44 960
"E004485" 0 0 0 0 0 0 1 0 0 0 4 28 11 12 188
"E004486" 0 2 2 0 14 4 4 10 3 14 3 16 13 6 105
"E004487" 0 0 0 0 0 0 0 0 0 0 2 3 1 0 0
"E004488" 0 0 0 0 0 0 1 0 0 1 38 26 2 0 0
"E004489" 0 0 0 0 1 0 0 0 0 0 29 25 2 0 42
"E004490" 0 0 0 0 0 0 0 1 0 0 18 17 5 0 0
"E004491" 0 0 0 0 0 0 0 0 0 0 66 143 192 20 1339
"E004492" 0 0 1 0 0 0 5 0 0 1 293 707 756 97 6601
"E004493" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004494" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1
"E004495" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004496" 0 0 0 0 0 0 0 0 0 0 7 15 10 2 22
"E004497" 0 1 0 0 1 1 0 0 2 0 6 16 6 4 81
"E004498" 0 3 1 0 1 0 1 0 1 1 142 845 411 145 1411
"E004499" 0 0 0 0 1 0 1 0 0 1 30 163 58 25 195
"E004500" 0 0 0 0 0 0 0 0 0 0 2 2 1 1 1
"E004501" 0 0 0 0 0 0 0 0 0 0 1 4 2 1 2
"E004502" 0 0 0 0 0 0 0 0 0 0 0 2 0 2 11
"E004503" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"E004504" 0 0 0 0 0 0 1 0 0 2 1 3 0 5 40
"E004505" 0 0 0 0 0 0 0 0 0 0 15 24 5 4 48
"E004506" 0 0 0 0 0 0 0 0 0 0 16 12 6 3 24
"E004507" 0 0 0 0 0 0 0 0 0 0 33 37 20 9 156
"E004508" 0 0 0 0 0 0 0 0 0 1 5 4 3 0 23
"E004509" 0 0 0 0 0 0 0 0 0 0 10 13 14 0 55
"E004510" 0 0 0 0 0 2 0 0 0 0 9 15 14 1 63
"E004511" 0 0 2 0 2 0 0 0 0 0 1882 13146 24952 6472 86655
"E004512" 0 2 58 25 11 0 0 0 0 2 14630 77624 162478 48100 960210
"E004513" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"E004514" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"E004515" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004516" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004517" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004518" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004519" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"E004520" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004521" 0 0 3 0 3 29 2 3 11 3 130 245 545 91 2199
"E004524" 0 0 3 0 1 0 0 0 1 0 66 259 641 89 2011
"E004525" 0 0 0 0 0 1 2 0 1 0 13 38 62 62 597
"E004526" 0 0 0 0 0 0 1 0 0 0 1 4 9 3 1
"E004527" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004528" 0 0 0 0 0 0 0 0 0 0 2 0 1 2 0
"E004529" 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0
"E004530" 0 0 0 0 0 0 0 0 0 0 1 1 3 1 13
"E004531" 0 0 0 0 2 0 0 0 0 0 15 29 20 23 226
"E004532" 0 0 0 0 0 0 2 0 1 0 17 36 21 20 287
"E004533" 0 0 0 0 0 0 0 0 0 0 0 3 6 0 0
"E004534" 0 0 0 0 0 0 0 0 0 0 0 7 6 0 21
"E004535" 0 0 0 0 0 0 0 0 0 0 72 207 161 65 594
"E004536" 0 1 0 0 0 0 0 1 0 1 108 252 220 100 742
"E004537" 0 2 0 0 0 0 1 1 0 1 213 551 360 188 1347
"E004538" 0 1 0 0 0 0 0 0 0 0 90 238 153 91 787
"E004539" 0 1 0 0 0 0 0 0 0 0 71 191 118 80 446
"E004540" 0 0 0 0 0 2 0 0 2 0 0 0 0 2 20
"E004541" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 20
"E004542" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004543" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"E004544" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004545" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004546" 0 0 0 0 0 0 0 0 0 0 0 2 1 1 1
"E004547" 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1
"E004548" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"E004549" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004550" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"E004551" 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"E004552" 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
"E004553" 0 0 0 0 0 0 0 0 0 0 1 2 3 2 0
"E004554" 0 0 0 0 0 0 0 0 0 0 6 26 8 6 80
"E004555" 0 1 1 0 1 0 0 0 1 0 21 78 25 14 66
"E004556" 0 0 1 0 0 0 1 0 1 0 22 65 15 19 161
"E004557" 0 0 0 0 0 0 0 0 0 0 2 2 2 3 13
"E004558" 0 0 0 0 0 0 0 0 0 0 4 0 2 2 33
"E004559" 0 0 1 3 5 10 4 4 6 6 3 2 0 2 22
"E004560" 0 0 0 0 0 0 0 0 0 0 38 84 67 14 204
"E004561" 0 0 0 0 0 0 0 0 0 2 92 171 127 22 513
"E004562" 0 0 0 0 0 2 0 0 1 1 234 628 455 90 1365
"E004563" 0 1 0 0 0 0 0 1 1 0 178 147 45 20 316
"E004564" 0 2 4 0 0 0 0 2 2 1 87 75 37 15 210
"E004565" 0 97 79 62 98 354 129 98 126 112 91 177 100 46 748
"E004566" 0 0 0 0 0 0 0 0 0 0 2 8 5 3 36
"E004567" 0 0 0 0 0 0 0 0 0 0 1 9 5 3 37
"E004568" 0 0 0 0 0 0 0 0 0 0 0 8 2 0 1
"E004569" 0 0 0 1 0 3 0 1 0 0 7 28 12 2 101
"E004570" 0 0 0 0 0 0 0 0 0 1 48 314 261 134 1945
"E004571" 0 0 1 1 0 0 0 0 0 1 65 655 473 259 4091
"E004572" 0 2 8 3 2 3 3 0 2 4 1239 8007 5742 3508 57754
"E004573" 0 0 1 0 0 0 0 0 0 0 64 403 328 137 2262
"E004574" 0 0 1 0 1 0 0 0 0 7 32 369 303 104 1793
"E004575" 0 0 0 0 1 0 0 1 0 3 21 270 215 94 1165
"E004576" 0 0 0 0 1 0 0 1 0 0 30 248 190 92 1456
"E004577" 0 0 0 0 0 1 0 0 0 0 24 131 157 69 1406
"E004578" 0 0 2 0 0 1 1 0 0 1 276 1722 1618 817 13905
"E004579" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004580" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004581" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004582" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004583" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004584" 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0
"E004585" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"E004586" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004587" 0 0 0 0 0 0 0 0 0 0 0 8 3 10 40
"E004588" 0 0 0 0 0 0 0 0 0 0 0 7 4 6 20
"E004589" 0 0 1 0 0 0 0 0 0 0 2 7 5 6 40
"E004590" 0 0 1 0 0 0 0 0 0 0 1 4 5 3 0
"E004591" 0 0 0 0 0 0 0 0 0 0 0 2 6 6 40
"E004592" 0 0 0 0 0 0 0 0 0 0 1 1 3 12 60
"E004593" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004594" 0 0 0 0 0 0 0 0 0 0 2 5 5 13 60
"E004595" 0 0 0 0 0 0 0 0 0 0 2 4 5 6 0
"E004596" 0 0 0 0 0 0 0 0 0 0 4 11 3 10 75
"E004597" 0 0 0 0 0 0 0 0 0 0 2 7 3 4 64
"E004598" 0 0 0 0 0 0 0 0 0 0 1 2 0 2 41
"E004599" 0 0 0 0 0 1 0 0 0 0 1 2 0 2 20
"E004600" 0 0 0 0 0 0 0 0 0 0 1 3 0 4 39
"E004601" 0 0 0 0 0 0 0 0 0 0 1 3 0 8 39
"E004602" 0 0 0 0 1 1 0 2 1 0 7 18 5 0 101
"E004603" 0 1 0 0 1 1 1 0 0 0 5 23 9 4 166
"E004604" 0 0 0 0 0 0 0 0 0 0 1 0 1 2 0
"E004605" 0 0 0 0 0 0 0 0 0 0 3 0 9 3 63
"E004606" 0 0 0 0 0 0 0 0 0 0 0 1 4 1 25
"E004607" 0 0 0 0 0 0 0 0 0 0 1 4 6 1 21
"E004608" 0 0 0 0 0 0 0 0 0 0 1 4 6 0 20
"E004609" 0 0 0 0 0 0 0 0 0 1 1 6 7 2 77
"E004610" 0 0 0 0 0 0 0 0 0 0 3 3 2 1 21
"E004611" 0 0 0 0 0 0 0 0 0 0 2 1 4 0 2
"E004612" 0 0 0 0 0 0 1 0 0 0 1 1 4 2 0
"E004613" 0 0 0 0 0 0 0 0 0 0 0 3 4 7 78
"E004614" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004615" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"E004616" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E004617" 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
"E004618" 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0
"E004619" 0 0 0 0 0 0 0 2 1 0 88 367 233 49 984
"E004620" 0 0 0 0 0 0 2 0 0 0 49 358 200 46 754
"E004621" 0 1 0 0 0 0 4 0 0 0 51 322 203 41 859
"E004622" 0 1 0 13 0 0 2 0 0 1 116 700 387 75 2583
"E004623" 0 0 0 0 0 0 1 0 0 0 71 215 181 27 815
"E004624" 0 0 0 0 0 0 1 1 0 0 4 35 13 9 44
"E004625" 0 0 0 0 0 0 1 0 0 0 59 213 154 22 461
"E004626" 0 0 0 0 0 0 0 0 1 0 180 927 553 101 2398
"E004627" 0 0 0 0 0 0 0 0 0 0 45 237 133 14 680
"E004628" 0 0 0 0 0 0 0 0 1 0 44 373 180 26 1141
"E004629" 0 0 2 0 1 2 1 1 0 1 86 874 584 84 3736
"E004630" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004631" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004632" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004633" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004636" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004637" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004638" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"E004639" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004640" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004641" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004642" 0 0 0 0 1 0 0 0 0 0 0 0 0 8 0
"E004643" 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0
"E004644" 0 0 0 0 0 2 3 27 3 0 1 6 4 3 20
"E004645" 0 0 1 0 0 8 5 38 1 0 3 27 21 9 20
"E004646" 0 0 0 0 0 7 0 4 0 0 0 8 13 2 41
"E004647" 0 3 1 0 0 6 13 2 3 3 0 6 4 2 0
"E004648" 0 0 0 0 0 1 0 0 1 0 2 8 9 4 21
"E004649" 0 0 0 0 0 0 0 0 0 0 5 15 10 8 41
"E004650" 0 0 0 0 0 0 0 0 0 0 6 16 7 6 40
"E004651" 0 0 0 0 2 0 0 0 0 1 22 42 43 32 147
"E004653" 0 0 0 0 0 0 0 0 0 0 3 0 2 4 0
"E004654" 0 0 0 0 0 0 0 0 0 0 5 6 8 1 0
"E004655" 0 0 0 0 0 0 0 0 0 0 4 17 7 1 18
"E004656" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"E004661" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004662" 0 0 0 0 0 0 0 0 0 0 0 0 0 3 40
"E004663" 0 0 0 0 0 0 0 0 0 0 2 13 5 1 39
"E004664" 0 0 0 0 0 1 0 0 0 0 5 8 8 0 102
"E004665" 0 0 4 0 0 0 0 0 0 0 126 178 168 120 468
"E004666" 0 0 4 0 0 2 0 0 0 0 366 930 708 314 2430
"E004667" 0 0 0 0 2 0 0 0 0 0 184 464 350 128 1836
"E004668" 0 0 0 0 2 0 0 0 0 0 178 440 308 146 1554
"E004669" 0 0 0 0 0 0 2 0 2 2 192 406 294 208 1574
"E004670" 0 0 0 0 1 2 2 0 3 1 98 340 245 126 1784
"E004671" 0 0 0 0 1 2 2 0 3 1 99 340 245 126 1784
"E004672" 0 0 0 0 0 1 0 0 0 0 6 13 10 0 41
"E004673" 0 0 0 0 0 0 0 0 0 0 7 43 18 1 61
"E004674" 0 0 0 0 0 0 0 0 0 0 12 60 26 1 140
"E004675" 0 0 0 0 0 0 0 0 0 0 10 23 16 1 83
"E004681" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"E004682" 0 1 1 0 6 0 0 0 0 0 2 33 17 5 159
"E004683" 0 0 0 0 0 2 0 0 0 0 2 57 104 92 470
"E004684" 0 0 0 0 0 0 0 0 0 0 0 1 8 18 41
"E004685" 0 0 2 0 0 2 0 1 1 1 1 9 18 30 137
"E004686" 0 0 1 0 0 1 0 1 5 2 1 16 19 35 374
"E004687" 0 0 0 0 0 4 7 2 8 3 44 106 114 161 1731
"E004688" 0 0 0 0 1 1 0 0 1 0 0 0 3 0 31
"E004689" 0 0 0 0 1 1 3 3 3 4 8 14 38 47 498
"E004690" 0 0 0 0 1 4 13 3 6 13 24 111 143 193 1952
"E004691" 0 0 0 0 0 1 2 2 1 3 13 28 31 38 449
"E004692" 0 0 1 0 0 0 1 1 0 0 130 358 223 113 2048
"E004693" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004694" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004695" 0 0 1 0 1 3 4 5 24 7 5 6 7 12 31
"E004696" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E004697" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004698" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"E004699" 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0
"E004700" 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"E004701" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"E004702" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E004703" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004704" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 19
"E004705" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"E004706" 0 0 0 0 0 0 0 0 1 1 103 104 462 116 1881
"E004707" 0 0 2 0 0 1 2 1 4 3 628 1340 2218 506 10318
"E004708" 0 0 0 0 0 0 0 0 0 0 0 15 18 1 80
"E004709" 0 3 2 0 1 1 1 0 0 1 31 1017 381 46 859
"E004710" 0 0 0 1 0 5 0 1 2 1 0 1 0 1 0
"E004711" 0 0 0 0 1 0 0 0 0 0 0 0 0 1 20
"E004712" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"E004713" 0 0 0 0 0 0 0 0 0 0 5 12 4 3 41
"E004714" 0 0 0 0 0 0 0 0 0 0 3 9 4 3 81
"E004715" 0 4 0 1 1 1 0 1 0 0 18 27 19 7 139
"E004716" 0 93 82 72 149 328 180 159 253 269 130 137 100 62 966
"E004717" 0 0 1 0 0 0 0 0 0 0 96 77 24 11 111
"E004718" 0 0 0 0 0 0 0 0 0 1 46 35 21 3 79
"E004719" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"E004720" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004721" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004722" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004723" 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0
"E004724" 0 0 0 0 0 0 0 0 0 0 10 4 2 4 0
"E004725" 0 0 0 0 0 0 0 0 0 0 46 30 16 10 81
"E004726" 0 0 1 0 0 0 1 0 0 0 163 103 56 32 391
"E004727" 0 0 0 0 0 0 0 6 0 0 224 148 72 32 462
"E004728" 0 0 2 0 0 0 0 1 0 0 49 34 23 13 104
"E004729" 0 0 1 0 0 0 1 0 0 0 163 103 56 32 391
"E004730" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004731" 0 0 0 0 0 1 0 0 0 1 0 1 1 5 41
"E004732" 0 3 1 0 0 0 1 0 1 0 12 34 71 23 462
"E004733" 0 0 0 0 0 0 0 0 3 2 15 51 77 27 593
"E004734" 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0
"E004735" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004736" 0 0 0 0 2 0 0 1 0 1 1 4 1 3 33
"E004737" 0 0 1 0 1 1 0 0 0 5 136 520 469 479 4496
"E004738" 0 5 11 3 4 6 17 26 22 55 604 3811 2883 2657 27148
"E004739" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004740" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004741" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E004742" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004743" 0 0 0 0 0 0 0 0 0 1 19 90 111 68 596
"E004744" 0 0 1 0 0 0 0 0 0 0 84 325 334 229 2923
"E004745" 0 0 0 0 0 0 0 0 0 0 30 180 156 122 1466
"E004746" 0 0 2 0 0 0 0 0 0 0 233 219 203 419 1409
"E004747" 0 0 0 0 0 0 0 0 0 0 151 135 131 264 825
"E004748" 0 1 0 0 0 1 0 0 0 1 931 686 604 1582 5379
"E004749" 0 0 0 0 0 0 0 0 0 0 263 171 153 396 1189
"E004750" 0 0 0 0 0 0 0 0 0 0 264 178 158 386 1288
"E004751" 0 0 0 0 0 0 0 0 0 0 216 159 184 462 1482
"E004752" 0 0 0 0 0 0 0 0 0 0 238 171 139 400 1250
"E004753" 9 1 6 1 4 0 1 0 0 2 690 379 279 1054 1957
"E004754" 6 1 2 1 2 0 1 0 0 1 395 196 168 614 977
"E004755" 0 1 1 0 2 0 0 0 0 0 320 140 179 489 992
"E004756" 0 0 0 0 0 0 0 0 0 0 557 278 232 793 1869
"E004757" 0 0 0 0 0 0 0 0 2 0 678 486 324 1084 3176
"E004758" 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0
"E004759" 0 0 0 0 0 0 0 0 0 2 0 3 2 17 2
"E004760" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"E004761" 0 0 0 0 0 3 0 0 1 0 168 95 119 183 824
"E004762" 0 0 0 0 0 0 0 0 0 0 31 25 24 54 209
"E004763" 0 0 0 0 0 0 0 0 0 0 4 20 12 3 23
"E004764" 0 0 0 1 0 1 0 2 0 0 68 240 153 23 526
"E004766" 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0
"E004767" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004768" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004769" 0 0 0 0 0 0 1 0 0 1 7 71 55 34 357
"E004770" 0 0 0 0 0 1 1 0 0 0 3 26 47 14 133
"E004771" 0 0 0 0 0 0 0 1 0 1 9 78 74 33 338
"E004772" 0 0 0 0 0 2 1 0 0 0 6 40 16 9 144
"E004773" 0 0 1 0 0 2 4 1 2 0 2 31 18 8 262
"E004774" 0 1 0 3 0 1 4 0 3 2 0 23 23 4 186
"E004775" 0 0 0 0 0 0 1 0 0 1 26 42 29 9 307
"E004776" 0 0 0 1 1 0 0 0 1 0 11 11 15 6 63
"E004777" 0 0 0 0 2 1 2 1 1 1 25 43 21 20 220
"E004778" 0 0 0 2 1 0 0 0 0 0 13 57 49 21 250
"E004779" 0 1 0 0 0 0 1 0 1 1 6 35 33 11 119
"E004780" 0 0 2 0 0 3 2 0 0 0 11 53 25 15 210
"E004781" 0 0 0 0 0 0 0 0 0 0 202 66 39 28 308
"E004782" 0 2 2 0 1 2 0 0 0 2 1252 496 313 181 2479
"E004783" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004784" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"E004785" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"E004786" 0 0 0 0 0 2 0 0 0 0 7 27 14 3 66
"E004787" 0 1 0 0 0 1 4 2 3 3 10 20 13 2 62
"E004788" 0 0 0 0 0 2 1 0 2 0 0 2 0 2 20
"E004789" 0 0 0 0 0 0 0 0 0 0 9 14 14 2 31
"E004790" 0 0 0 0 0 0 0 0 0 0 24 64 37 12 178
"E004791" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E004792" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"E004793" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"E004794" 0 0 1 0 0 0 1 2 2 1 48 97 106 95 561
"E004795" 0 0 0 0 0 0 1 0 0 0 17 43 44 36 276
"E004796" 0 0 0 0 0 0 0 0 0 0 7 29 28 27 218
"E004797" 0 1 0 0 0 0 0 0 0 0 10 29 24 33 242
"E004798" 0 0 0 0 0 1 0 0 0 0 13 27 25 19 346
"E004799" 0 0 1 0 0 0 1 0 0 0 15 25 19 11 200
"E004800" 0 0 1 0 0 0 1 0 0 0 8 8 10 1 43
"E004801" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E004802" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1
"E004803" 0 0 0 0 0 2 0 0 0 1 93 128 149 265 1511
"E004804" 0 0 0 0 0 0 0 0 0 0 1 7 4 1 21
"E004805" 0 0 1 0 0 0 0 0 0 0 8 89 24 8 49
"E004806" 0 0 0 0 0 0 0 0 0 0 6 7 20 22 154
"E004807" 0 0 0 2 1 2 1 0 2 1 60 227 234 345 2800
"E004808" 0 0 0 0 1 0 2 0 0 0 8 49 59 60 622
"E004809" 0 1 1 0 0 0 1 0 0 0 2 2 13 2 42
"E004810" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"E004811" 0 0 0 0 1 0 0 0 0 0 2 67 22 4 105
"E004812" 0 0 0 0 0 0 0 0 0 0 6 141 32 8 125
"E004813" 0 0 0 20 0 0 0 0 0 0 13 170 38 12 124
"E004814" 0 27 14 18 47 28 110 74 48 52 16 173 62 26 331
"E004816" 0 0 0 0 0 0 0 0 0 0 1 3 4 2 0
"E004817" 0 1 1 2 0 1 0 1 0 4 7 22 17 8 168
"E004818" 0 0 0 0 0 0 0 0 0 1 4 12 16 4 76
"E004819" 0 0 0 0 1 0 0 0 0 0 5 21 15 6 75
"E004820" 0 0 0 0 0 0 0 0 0 0 3 23 12 4 20
"E004821" 0 0 0 0 0 0 0 0 0 0 2 21 9 5 56
"E004822" 0 0 0 0 0 0 0 0 0 0 1 18 11 6 92
"E004823" 0 0 0 0 0 0 0 0 0 1 7 20 24 10 202
"E004824" 0 0 0 0 0 0 0 0 0 0 5 13 2 3 3
"E004825" 0 5 9 13 21 98 171 171 85 80 9 15 4 26 121
"E004826" 0 0 0 0 0 0 0 0 0 0 11 76 33 10 204
"E004827" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004828" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004829" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004830" 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0
"E004831" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"E004832" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004833" 0 4 4 3 11 11 16 10 2 12 3 9 5 7 24
"E004834" 0 4 3 2 5 2 13 6 3 6 1 9 2 7 15
"E004835" 0 0 0 0 2 1 3 0 1 0 0 0 0 0 0
"E004836" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"E004837" 0 0 0 0 0 0 0 0 0 0 26 111 69 43 715
"E004838" 0 0 0 0 0 0 0 0 2 0 5 20 13 7 80
"E004839" 0 0 0 0 0 0 0 0 0 1 5 96 133 20 371
"E004840" 0 0 0 0 0 0 0 0 0 0 2 82 88 15 265
"E004841" 0 0 0 0 0 0 0 0 0 0 1 10 12 2 60
"E004842" 0 0 0 0 0 0 0 0 0 0 13 111 130 38 373
"E004843" 0 0 0 0 1 0 0 0 0 1 9 19 12 12 125
"E004844" 0 0 0 0 0 0 0 0 0 0 32 76 51 21 553
"E004845" 0 0 0 0 0 1 0 0 0 0 15 25 22 14 162
"E004846" 0 0 0 0 0 0 0 0 0 1 11 27 19 13 183
"E004847" 0 0 0 0 0 0 0 0 0 0 15 38 28 19 349
"E004848" 0 0 0 0 0 0 0 0 0 1 32 118 87 48 666
"E004849" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004850" 0 0 0 0 2 0 1 0 0 0 1 0 1 1 0
"E004851" 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0
"E004852" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004853" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004854" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"E004855" 0 0 1 0 0 1 0 1 0 0 0 0 1 0 41
"E004856" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004857" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E004858" 0 0 0 0 0 1 2 0 0 0 19 165 87 31 319
"E004859" 0 0 0 0 0 0 1 0 0 1 34 230 141 44 593
"E004860" 0 0 0 0 0 0 2 0 0 1 31 193 122 40 461
"E004861" 0 0 0 0 0 0 0 0 0 0 7 1 5 2 40
"E004862" 0 0 0 0 0 1 0 0 0 0 2 1 3 1 20
"E004863" 0 1 0 1 0 1 0 0 0 0 0 2 1 0 0
"E004864" 0 1 0 0 0 0 0 0 0 0 6 38 15 11 123
"E004865" 0 0 1 0 0 0 0 0 0 0 25 240 104 72 848
