"accepted_01" "accepted_02" "accepted_03" "accepted_04" "accepted_05" "accepted_06" "accepted_07" "accepted_08" "accepted_09" "accepted_010" "accepted_1" "accepted_2" "accepted_3" "accepted_4" "accepted_5"
"E000010" 0 0 1 0 0 0 1 0 0 0 15 156 384 194 1095
"E000011" 0 0 0 0 0 0 0 0 0 0 11 102 263 134 660
"E000012" 0 0 0 0 0 0 0 0 0 0 15 205 538 197 1574
"E000013" 0 0 0 1 0 0 0 1 0 0 333 1126 660 218 2038
"E000014" 0 0 0 1 0 0 0 1 0 0 406 1380 853 270 3114
"E000015" 0 0 2 0 0 0 1 1 2 5 1819 4685 3224 1166 12067
"E000016" 0 0 0 0 0 1 0 0 0 0 86 332 85 35 315
"E000017" 0 19 12 1 5 23 31 12 8 19 2446 7226 1277 686 5259
"E000018" 0 1 0 0 0 2 0 0 0 0 16 53 30 2 105
"E000019" 0 5 3 2 1 2 3 1 0 0 77 228 121 15 553
"E000020" 0 1 2 2 2 1 0 0 0 2 45 121 64 8 356
"E000021" 0 0 0 0 0 0 0 0 0 1 4 6 8 15 40
"E000022" 0 0 1 0 0 0 0 2 0 1 101 174 158 288 993
"E000023" 0 3 4 0 0 1 2 1 2 4 319 447 528 817 3449
"E000024" 0 0 0 0 0 0 0 0 0 0 29 53 46 64 449
"E000025" 0 0 0 0 0 0 1 0 0 0 35 82 63 122 516
"E000026" 0 1 0 0 0 0 0 0 0 0 1 10 11 3 1
"E000027" 0 1 0 1 1 5 0 1 0 0 3 33 14 14 188
"E000028" 0 0 0 0 0 0 0 0 0 0 1 9 5 12 101
"E000029" 0 0 0 0 0 0 0 0 0 0 3 42 12 12 62
"E000030" 0 0 0 0 0 0 0 0 0 0 8 67 54 78 589
"E000031" 0 0 0 0 0 0 0 1 0 0 9 11 21 33 243
"E000032" 0 0 0 0 0 0 0 0 0 0 4 17 11 21 64
"E000033" 0 0 0 0 0 0 0 0 0 0 8 17 11 26 126
"E000034" 0 0 0 0 0 0 0 0 0 0 6 8 11 22 165
"E000035" 0 0 0 0 0 0 0 0 0 0 2 3 5 6 0
"E000036" 0 0 0 0 0 0 0 0 0 0 3 11 13 23 102
"E000037" 0 0 0 0 0 0 1 0 0 0 2 7 12 14 26
"E000038" 0 0 0 0 0 0 1 0 1 0 4 10 14 19 123
"E000039" 0 0 0 0 0 0 1 0 0 0 6 13 20 30 239
"E000040" 0 0 0 0 0 0 1 0 0 0 2 5 10 11 60
"E000041" 0 0 1 0 0 0 0 0 0 0 3 20 22 29 442
"E000042" 0 0 0 0 0 0 0 0 0 0 7 123 68 9 214
"E000043" 0 0 0 0 0 0 0 0 0 0 25 290 168 26 691
"E000044" 0 0 0 0 0 0 0 0 0 0 60 417 284 47 566
"E000045" 0 0 0 0 1 0 0 0 0 2 104 538 370 54 1133
"E000046" 0 0 0 0 0 0 0 1 0 0 1 4 0 0 62
"E000047" 0 0 0 0 0 0 0 1 0 0 1 4 1 1 22
"E000048" 0 0 0 0 0 0 0 0 0 0 2 9 9 5 21
"E000049" 0 0 3 0 0 0 0 0 0 1 4 28 12 31 147
"E000050" 0 0 0 0 0 0 0 0 0 0 0 11 15 2 60
"E000051" 0 0 0 0 0 0 0 0 0 0 27 96 59 21 317
"E000052" 0 0 0 0 0 1 0 0 0 0 21 92 49 23 308
"E000053" 0 0 0 0 0 0 0 0 0 0 3 13 9 2 50
"E000054" 0 0 0 0 0 0 0 0 0 0 114 351 703 122 9277
"E000055" 0 0 0 0 0 0 0 0 0 0 0 2 6 2 40
"E000056" 0 0 0 0 0 0 0 0 0 0 2 14 2 8 16
"E000057" 0 0 0 0 0 0 0 0 0 0 4 14 12 2 36
"E000058" 0 0 0 0 0 0 2 0 0 0 14 40 18 12 194
"E000059" 0 0 0 0 0 0 0 0 0 0 20 50 18 14 120
"E000060" 0 0 0 0 0 0 0 0 40 0 6 36 29 7 63
"E000061" 0 0 0 0 0 0 0 0 40 0 6 36 29 7 63
"E000062" 0 0 0 0 0 1 0 1 1 0 4 4 6 4 18
"E000063" 0 0 0 0 0 1 0 0 0 0 0 1 4 1 0
"E000064" 0 0 0 0 0 0 0 0 0 0 5 13 7 0 22
"E000065" 0 0 0 0 0 0 0 0 0 0 9 39 23 5 84
"E000066" 0 0 0 0 0 0 0 0 0 0 0 3 1 5 0
"E000067" 0 0 0 0 0 1 3 2 0 3 12 24 21 33 188
"E000068" 0 1 0 0 0 9 11 3 7 10 31 42 23 46 193
"E000069" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000070" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000071" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000072" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000073" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000074" 0 0 0 0 0 0 0 0 0 0 48 194 64 24 206
"E000075" 0 0 0 0 0 2 0 0 0 0 84 404 140 54 870
"E000076" 0 0 0 0 0 0 0 0 0 1 21 81 29 13 145
"E000077" 0 0 0 0 0 0 0 0 0 1 21 81 29 13 145
"E000078" 0 90 56 28 44 232 88 66 58 64 64 195 84 46 503
"E000079" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000080" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000081" 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0
"E000082" 0 0 0 0 0 0 0 0 0 0 6 3 4 2 0
"E000084" 0 0 3 0 1 1 2 2 0 3 68 1032 1349 185 5422
"E000085" 3 2 8 5 2 0 2 7 3 4 570 10512 12241 3155 60717
"E000086" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000087" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"E000088" 0 2 0 0 1 2 4 2 3 0 0 9 3 0 21
"E000089" 0 0 0 1 2 3 7 3 5 1 2 19 4 3 43
"E000090" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000091" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000092" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40
"E000093" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000094" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000095" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
"E000096" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000097" 0 0 0 0 1 0 1 0 0 0 1 4 1 0 0
"E000098" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"E000099" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E000100" 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0
"E000101" 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0
